Level-In category,Sub-category,Workflow macro-flow,Confluence taxonomy ref,Email-template codes covering it,Coverage status,Evidence-validation,Notes
Complaint,Return (within guarantee — defective/wrong/missing),PRODUCT COMPLAINT (Flow 3) — defective/wrong/missing path (A-codes),Not applicable (sizing root-cause classification applies at B4 after CEE routing — SRC-03a-d for sizing sub-type),"A1, A2, A3, A4, A5, A6, A7, A8, A9 (within-guarantee defective/wrong/missing)",covered,not-yet-validated (no ticket sample provided),A-codes cover defective/wrong/missing items with product-line variants (Bra/Pants/Non-apparel). SCE root-cause classification (B4) applies for sizing sub-type only; non-sizing root-cause guides not yet provided (GAP: MISS-03).
Complaint,Replace (within guarantee — non-defective/fit/satisfaction),PRODUCT COMPLAINT (Flow 3) — non-defective path (B-codes),"SRC-03a (Bra sizing), SRC-03b (Pants sizing), SRC-03c (Shirt sizing), SRC-03d (Other Product Lines) — sizing root-cause labels applied at B4","B1, B2, B3, B5, B6, B7, B8, B9, B10, B11, B12, B13",covered,not-yet-validated (no ticket sample provided),"B4 is MISSING — no template or workflow node found; likely retired or subsumed (STALE-03). B8-B13 are 365-day guarantee variants. SCE sizing root-cause guides (SRC-03) cover this sub-path at B4. Non-sizing root-cause classification undocumented (MISS-03)."
Complaint,Refund (partial) — product complaint path,PRODUCT COMPLAINT (Flow 3) — refund branches within A/B/D codes,Not applicable — no Confluence guide for refund root-cause,"A4 (full refund), A9 (partial refund), B3/B5/B7 (50% refund), D8 (70% refund escalation)",covered,not-yet-validated (no ticket sample provided),Refund amounts: A4=full; A9=partial (variable); B3/B5=50% OR 40% discount; B7=50% AND 40% discount; D8=customer refused 70%. Escalation path via D-codes. Missing policy: no standalone refund policy doc — embedded in workflow only.
Complaint,Out of guarantee (post-warranty complaint),PRODUCT COMPLAINT (Flow 3) — out-of-warranty path (C-codes),Not applicable,"C1 (out of guarantee), C2 (replacement not fit)",covered,not-yet-validated (no ticket sample provided),"C1 covers out-of-guarantee response with 40% aftersale promotion. CONFLICT: C1 template states two warranty windows (45d purchase OR 14d delivery) — see CONTRA-01 (HIGH severity). C2 covers post-replacement fit complaint."
Complaint,Review complaint (product review-related),PRODUCT COMPLAINT (Flow 3) — review sub-category of Complaint (12% of Complaint volume),Not applicable,No dedicated template code found for review-category complaints,gap,not-yet-validated (no ticket sample provided),Review complaints (12% of Complaint sub-categories) have no dedicated template identified. May be handled via general product complaint codes (A/B) or ad-hoc. Named gap — CS team to confirm.
Change Request,Address change,CHANGE REQUEST (Flow 2) — address sub-flow,Not applicable,"E1 (shipping address confirmed), E2 (TA-status address change), E3 (TO-status address change), E13 (invalid address warning)",covered,not-yet-validated (no ticket sample provided),Full address-change coverage across DO statuses (New/Processing/Pending via E1/E13; TA via E2; TO via E3). TO-status = cannot change — E3 informs customer.
Change Request,Size / color / design change,CHANGE REQUEST (Flow 2) — variant sub-flow,Not applicable,"E4-Bra, E4-Pants, E5, E6-Pants, E6-Bra, E7, E10, E11, E12",covered,not-yet-validated (no ticket sample provided),"Covers can-change (same/lower price: E4; higher price: E5), cannot-change/add items (E10), confirmation (E11), resume-as-is (E12). TA-status: E6-Bra/E6-Pants. TO-status: E7 (cannot change, delivered)."
Change Request,Contact details change (email / phone / billing address),CHANGE REQUEST (Flow 2) — contact/billing sub-flow,Not applicable,"E8 (email change, phone change), E9 (billing address change)",covered,not-yet-validated (no ticket sample provided),E8 covers two sub-variants (email address and phone number). E9 covers billing address. All three contact-detail types are covered.
Change Request,Add items to order,CHANGE REQUEST (Flow 2) — add-items path,Not applicable,E10 (cannot add items — informs customer),partial,not-yet-validated (no ticket sample provided),E10 only covers the CANNOT-add-items case (informs customer it is not possible). No template for successful add-items scenario found — gap if adding items is ever possible.
Inquiry,Shipping inquiry — tracking / in-transit status,SHIPPING INQUIRY (Flow 4) — common scenarios,Not applicable,"G1, G2, G4, G5, G6, G7, G8, G9",covered,not-yet-validated (no ticket sample provided),"Full coverage: order not created (G1), not fulfilled (G2), in-transit neutral (G4), in-transit angry (G5), late delivery discount (G6), late delivery partial refund+discount (G7), express replacement (G8), day-40 promise (G9). CONFLICT: G5 (50% discount < 21 days) vs G6 (40% > 21 days) — see CONTRA-04."
Inquiry,Shipping inquiry — DNR (Delivered Not Received),SHIPPING INQUIRY (Flow 4) section 4.3 DNR,Not applicable,"G10 (first response), G14-Bra/Pants/Non-apparel (replacement), G15-Bra/Pants/Non-apparel (replacement or full refund)",covered,not-yet-validated (no ticket sample provided),Three-step DNR coverage: initial investigation (G10) then replacement offer (G14) or replacement/refund offer (G15). Product-line variants present for G14/G15.
Inquiry,Shipping inquiry — OOS (Out of Stock),SHIPPING INQUIRY (Flow 4) section 4.4 OOS,Not applicable,"G3.1 (can change variant — express shipping), G3.2 (cannot change variant — 20% refund)",covered,not-yet-validated (no ticket sample provided),Both OOS paths covered. CONFLICT: G3.2 offers 20% refund — consistent with general 20% cap (THR-06). G3.1 offers express shipping upgrade as compensation.
Inquiry,Shipping inquiry — RTS (Return to Sender),SHIPPING INQUIRY (Flow 4) section 4.5 RTS,Not applicable,"G11-Bra/Pants/Non-apparel (replacement for returned package), G13 (courier attempting redelivery)",covered,not-yet-validated (no ticket sample provided),RTS covered: if returned to sender (G11 — complimentary replacement); if courier still attempting delivery (G13 — advise customer to contact carrier).
Inquiry,Shipping inquiry — Test Contract,SHIPPING INQUIRY (Flow 4) section 4.2 TC,Not applicable,G12 (test contract order cancelled — 30% discount),covered,not-yet-validated (no ticket sample provided),"Test contract orders are cancelled with 30% discount as goodwill. CONFLICT: 30% discount is unique to this scenario — not aligned with standard 20%/40% rates (see MISS-07 / IC-NEW-03)."
Inquiry,Pre-purchase inquiry (product questions before ordering),No dedicated macro-flow in WorkFlow.svg,Not applicable,No dedicated template code identified,gap,not-yet-validated (no ticket sample provided),Pre-purchase inquiries (sub-set of Inquiry 9.7%) have no documented template or workflow macro-flow. Agents likely handle ad-hoc. Named gap — see MISS-02. CS team to identify or author coverage.
Chargeback / Claim,Chargeback — PayPal,No dedicated macro-flow in WorkFlow.svg (Chargeback has no workflow coverage),Not applicable,"I1, I2, I3, I4 (billing template SRC-05 — PayPal chargeback responses)",partial,not-yet-validated (no ticket sample provided),"Template coverage only — no workflow policy doc or Confluence guide. STALE-01: policy changes frequently per meeting note. SRC-05 (billing-template.md) was discovered incidentally; not formally surveyed in Plans 01-02. Named gap: MISS-01."
Chargeback / Claim,Chargeback — Card,No dedicated macro-flow in WorkFlow.svg,Not applicable,"I5, I6, I7 (billing template SRC-05 — card chargeback responses)",partial,not-yet-validated (no ticket sample provided),"Template coverage only. Card refund timeline: 5-10 business days (THR-22). No workflow or Confluence policy for card chargeback decision logic. Named gap: MISS-01."
Chargeback / Claim,Chargeback — General / Multiple Charge,No dedicated macro-flow in WorkFlow.svg,Not applicable,"I8 (general chargeback), I9, I10 (multiple charge responses)",partial,not-yet-validated (no ticket sample provided),"Template-only coverage for general and multiple-charge scenarios. No escalation logic or decision tree documented. Named gap: MISS-01. High-risk category: volatile policy + no structured decision flow = hallucination risk for AI."
Other,Miscellaneous / uncategorized,No dedicated macro-flow,Not applicable,Situational templates (SRC-06): H1 (unsubscribe) / H2 (order not found) / H4-Bra/Pants (size-tag mismatch) / H5 / H6 / H7,partial,not-yet-validated (no ticket sample provided),"H-codes (SRC-06, situational-template.md) cover cross-cutting scenarios (unsubscribe H1, order-not-found H2, size-tag mismatch H4, others H5-H7). H3 is ABSENT — no template found. 'Other' category scope is broad; unknown what proportion of Other tickets these H-codes serve."
Cross-cutting,SCE root-cause tagging (B4 step — all complaint tickets),Not a Level-In category — applied at B4 workflow step for all Complaint tickets,"SRC-03a (Bra sizing), SRC-03b (Pants sizing), SRC-03c (Shirt sizing), SRC-03d (Other Product Lines) — SIZING DOMAIN ONLY",No email template — internal classification action,partial,not-yet-validated (no ticket sample provided),"Sizing root-cause classification: covered for 4 product lines (Bra/Pants/Shirt/Other). NON-SIZING DOMAINS (shipping, billing, product defect, delivery): NO Confluence guide provided — named gap MISS-03. cf_level_out (Level-Out field valid values): undefined — named gap MISS-04."
Cross-cutting,CEE-SCE collaboration (escalation to SCE ops team),CEE-SCE COLLAB (Flow 6) in WorkFlow.svg,Not applicable,No customer-facing template — internal coordination workflow,covered,not-yet-validated (no ticket sample provided),"Workflow-level: covered in Flow 6 (escalation triggers, 11AM-4PM window, 1-note rule). Named gap MISS-05: no standalone policy doc for escalation triggers beyond the workflow diagram."
Cross-cutting,EMAIL-CALL collaboration (OB call coordination),EMAIL-CALL COLLAB (Flow 5) in WorkFlow.svg,Not applicable,No customer-facing template — internal coordination workflow,partial,not-yet-validated (no ticket sample provided),"Workflow-level: covered in Flow 5 (2-day wait trigger). No standalone policy doc. Relevant for tickets requiring outbound call to customer but AI scope is email-reply only — lower priority for Phase 1 AI system."
